s_name|s_address
Supplier#000000020|iybAE,RmTymrZVYaFZva2SH,j
Supplier#000000091|YV45D7TkfdQanOOZ7q9QxkyGUapU1oOWU6q3
Supplier#000000157|,mEGorBfVIm
Supplier#000000197|YC2Acon6kjY3zj3Fbxs2k4Vdf7X0cd2F
Supplier#000000226|83qOdU2EYRdPQAQhEtn GRZEd
Supplier#000000285|Br7e1nnt1yxrw6ImgpJ7YdhFDjuBf
Supplier#000000287|7a9SP7qW5Yku5PvSg
Supplier#000000354|w8fOo5W,aS
Supplier#000000361|f8IUYRmdVXhQC9qJQjWknCXmzhe38vCbk6
Supplier#000000378|FfbhyCxWvcPrO8ltp9
Supplier#000000402|i9Sw4DoyMhzhKXCH9By,AYSgmD
Supplier#000000530|0qwCMwobKY OcmLyfRXlagA8ukENJv,
Supplier#000000557|jj0wUYh9K3fG5Jhdhrkuy ,4
Supplier#000000640|mvvtlQKsTOsJj5Ihk7,cq
Supplier#000000657|nas2fhRwM97W8EEqYpBN
Supplier#000000688|D fw5ocppmZpYBBIPI718hCihLDZ5KhKX
Supplier#000000710|f19YPvOyb QoYwjKC,oPycpGfieBAcwKJo
Supplier#000000729|pqck2ppy758TQpZCUAjPvlU55K3QjfL7Bi
Supplier#000000736|l6i2nMwVuovfKnuVgaSGK2rDy65DlAFLegiL7
Supplier#000000761|zlSLelQUj2XrvTTFnv7WAcYZGvvMTx882d4
Supplier#000000783|dMpZwZ95xznZWg4acMQW dK8AQMhB
Supplier#000000884|bmhEShejaS
Supplier#000000935|ij98czM 2KzWe7dDTOxB8sq0UfCdvrX
Supplier#000001033|A6x1P,56sVHkb4DqVyUw32n,ChI
Supplier#000001141|xCOuPvOd565r9H31,xuZcpE
Supplier#000001245|bztTCfHZnsLafgtZWe,isV Gr 4IFg
Supplier#000001399|LmrocnIMSyYOWuANx7
Supplier#000001446|lch9HMNU1R7a0LIybsUodVknk6
Supplier#000001500|wDmF5xLxtQch9ctVu,
Supplier#000001501|xL06,Y 2M3CjPr
Supplier#000001528|it4EmP9yhW0IZvUnapbYfoKXVvY2
Supplier#000001624|ISkTuv6KLp9AcxdWRGJ8 ey,r56tQ9DozGP
Supplier#000001746|qWsendlOekQG1aW4uq06uQaCm51se8lirv7 hBRd
Supplier#000001806|M934fuZSnLW
Supplier#000001856|jXcRgzYF0ah05iR8p6w5SbJJLcUGyYiURPvFwUWM
Supplier#000001873|Tdzlitffjp,Qv7bB3mWthF8
Supplier#000001931|FpJbMU2h6ZR2eBv8I9NIxF
Supplier#000001939|Nrk,JA4bfReUs
Supplier#000001958|bJAZFisYzqSFaspq2XQOVwrEpGgtTe9 1ccU9RJ
