ps_partkey|value
308504|18662494.66
36085|17654921.14
458599|17076926.98
220600|16944886.24
169718|16921835.08
473811|16796410.84
14918|16429198.80
265084|16246049.31
201931|16116436.27
199874|15758080.44
277862|15362937.60
27223|15273175.20
423615|15259687.86
308114|15209831.28
4723|15154822.77
178038|15142314.43
519741|15082637.22
141475|15021461.22
36723|14982658.92
292654|14902023.19
181093|14885119.37
38932|14882958.51
579035|14876183.70
552193|14850494.75
101964|14745293.57
204567|14688416.87
26170|14679693.23
441641|14617458.58
512008|14471341.91
586888|14395966.60
85628|14389856.96
396227|14389341.68
249458|14371708.44
86305|14323061.97
469208|14322340.40
595186|14303530.24
355078|14233633.06
157240|14225313.61
323484|14218081.36
481817|14180606.76
176968|14073976.40
471173|14062545.59
338394|14050767.98
478049|14014410.90
29425|13971532.32
178439|13938904.49
598853|13885796.88
592507|13838848.97
182620|13838604.00
507822|13827209.91
223968|13825668.18
525287|13801579.06
239918|13729308.47
386349|13671507.80
286480|13657619.89
377058|13644836.60
267892|13642405.92
537724|13570638.78
274419|13528817.54
405006|13484650.74
118966|13474499.76
207438|13464169.17
351607|13459236.14
510031|13422055.31
363999|13410518.94
333415|13399278.47
92406|13287414.50
385200|13235966.18
261886|13235181.67
55107|13204100.83
483141|13202985.46
57163|13200352.27
595951|13136894.85
545945|13095410.87
472457|13091775.09
24421|13045742.20
28494|13044796.11
95588|13020821.28
580881|12995382.97
236487|12958271.58
338307|12951033.31
70024|12901784.98
483954|12898232.36
116912|12892053.66
68184|12889397.76
121325|12879599.64
9035|12863828.70
19129|12833611.76
333615|12805779.79
470124|12789757.35
180386|12755030.88
573404|12748737.22
48992|12729319.44
179795|12728469.68
414280|12701651.91
19978|12683252.80
534103|12668090.40
410157|12656116.34
187868|12647101.80
379723|12626107.00
584731|12597502.29
214980|12595635.24
437979|12591697.64
216443|12590611.80
548510|12587316.52
395222|12581779.05
576372|12580028.85
394896|12574109.58
513609|12547093.64
217660|12546891.02
133624|12510901.08
42633|12445083.55
585548|12421700.36
485392|12403890.50
193352|12384877.06
575944|12375101.68
4277|12363971.55
450129|12359055.40
424896|12331556.75
86429|12313380.66
133486|12305010.69
491872|12288285.83
72765|12243912.32
218437|12225581.62
17193|12210451.94
488851|12201071.91
176489|12192462.07
495413|12191142.72
525898|12177440.85
429008|12165286.65
286405|12131429.98
472072|12113908.97
508727|12099362.04
561618|12084179.48
369644|12072494.40
276268|12060819.22
172017|12059971.90
246790|12033073.73
181628|12022002.38
598833|12020672.03
334481|12012616.72
48110|12012539.42
68987|12009906.86
306955|12005252.03
52935|11998068.90
203795|11967627.00
126040|11960735.69
53931|11943232.46
75558|11922184.88
115311|11907184.32
54987|11867765.99
10591|11863737.58
475852|11858937.68
1966|11840529.15
415608|11836804.77
441299|11816649.42
441897|11800739.34
239681|11792114.87
17052|11777756.73
50566|11761510.57
475727|11758435.11
313074|11746917.67
108108|11740472.20
441087|11724101.51
352700|11720347.43
173894|11714432.76
176908|11696261.44
463736|11690265.86
317523|11651416.96
320999|11646365.44
170818|11645604.77
305679|11643749.47
528707|11622795.70
38823|11619558.40
390243|11618571.91
52907|11605660.38
554938|11604592.68
268080|11600737.74
77800|11598799.75
391051|11597295.72
510408|11572225.36
129306|11532547.12
17993|11519296.15
554401|11516002.37
312201|11499070.88
111253|11482896.81
418509|11476814.20
364210|11465772.17
529288|11462297.85
65686|11455067.76
580913|11445097.50
385899|11430000.48
200124|11427580.20
22181|11425946.38
246134|11423753.64
462696|11402207.25
576049|11395106.76
406409|11373891.43
408660|11367892.71
419186|11361944.82
136318|11351893.30
567197|11338328.60
30179|11326759.90
26691|11322354.40
557752|11309982.23
86502|11296661.64
407793|11287380.69
288073|11287156.29
240628|11279480.40
227703|11267804.85
214155|11265713.22
561190|11258341.94
18670|11257471.23
70489|11242829.12
535590|11239533.67
313189|11238213.63
257260|11235119.46
526961|11226543.37
478039|11215707.58
434887|11213569.06
94821|11201413.67
222079|11193451.74
429086|11182242.21
118813|11156984.78
535490|11133738.63
440247|11132295.93
195356|11128485.30
448688|11121567.94
264395|11119132.38
114590|11115951.76
453962|11103660.35
22438|11097691.00
214594|11085832.24
19723|11080521.72
136861|11074161.43
292744|11064788.21
221285|11037586.89
265311|11030423.97
330536|11018847.48
458643|11013992.34
321150|10997362.57
43471|10986852.08
469161|10956557.59
549306|10942890.74
279784|10930276.34
396446|10928982.10
382003|10913351.28
232672|10899480.10
479875|10892445.58
449114|10890184.80
359717|10890077.43
120162|10885049.08
18534|10883521.16
2351|10868157.94
376271|10863826.02
135317|10861710.22
478439|10861396.58
45406|10859861.82
403762|10852259.27
333747|10847610.96
215942|10840918.50
296544|10833070.21
597166|10822173.60
161619|10820826.22
597703|10809508.94
166409|10803703.92
464328|10793710.62
515755|10788679.30
373096|10786911.34
185032|10776669.75
562015|10772829.15
280931|10764800.37
270147|10764789.49
170934|10750019.58
59070|10748557.44
115362|10740481.50
592375|10739500.60
108432|10727113.84
251282|10723723.64
376966|10719734.48
274487|10712990.30
589146|10712909.68
307522|10703458.35
315456|10697113.68
386450|10686016.07
499675|10685285.28
288231|10683115.82
26298|10676371.60
597452|10665018.68
323304|10650288.09
314774|10647834.22
7136|10641595.08
243243|10639123.44
41996|10637431.54
322972|10631278.92
143822|10621712.69
270213|10618710.17
579242|10600210.82
448506|10572916.10
464044|10569176.96
470106|10568656.10
325611|10563349.13
235867|10561112.64
171212|10557417.12
170118|10548669.86
22757|10547905.50
393686|10545200.39
254569|10544119.11
51484|10535296.97
133080|10524292.60
32530|10523527.76
51924|10517917.77
404055|10516623.42
152671|10509132.88
403871|10493377.46
428830|10480976.61
492908|10480674.24
410926|10477379.76
305564|10469006.33
555634|10442674.60
300628|10439689.49
55494|10435183.56
313965|10434678.98
517838|10429219.78
93806|10418255.83
62988|10418020.54
225197|10416344.36
547722|10408362.96
5994|10406850.15
561396|10388153.09
533671|10375701.68
120325|10369729.32
474614|10365829.08
73602|10351346.31
538921|10335533.76
100142|10321531.47
418865|10320967.56
70129|10314719.40
271462|10298643.96
582512|10296742.11
34767|10290405.18
559129|10289899.30
112886|10285069.22
261847|10282672.53
553939|10270753.00
88588|10264283.70
460822|10259380.95
548378|10254149.49
62084|10248352.10
459373|10244432.05
451858|10241563.84
124000|10239206.88
429458|10238099.37
278900|10230996.56
150932|10230663.98
88676|10229877.11
131504|10227731.50
468434|10210728.49
319424|10205057.19
333342|10192325.99
19401|10183007.37
513107|10179798.67
399831|10176241.11
322408|10169705.08
91739|10166318.01
125555|10162414.92
176629|10158136.18
59211|10153529.46
164905|10152013.30
541855|10151264.82
113429|10149500.33
282580|10146659.46
109268|10139342.10
328948|10138653.08
393121|10134791.14
178606|10131190.38
597029|10125268.21
412718|10124922.64
441322|10124664.23
336040|10124414.24
366889|10123004.41
47993|10117264.13
143989|10094018.52
513994|10087149.59
291475|10068489.20
91657|10068296.33
576588|10065964.00
284938|10063815.04
386424|10060756.69
107344|10054667.20
595616|10034700.39
282599|10033086.91
353597|10032328.38
309989|10031678.20
588208|10024359.41
226900|10021160.60
43029|10020013.38
95241|10019537.13
47466|10009058.28
105926|10002854.88
14938|9997419.80
138986|9997005.30
12223|9993678.47
501457|9992878.82
585047|9986046.33
216176|9978673.32
395442|9968131.36
256172|9967671.64
452474|9965878.80
421461|9964225.48
304566|9962505.95
580456|9960879.20
208757|9958212.84
279761|9957439.44
133174|9955814.45
214747|9949652.44
300332|9943925.55
214137|9943780.68
163494|9943277.59
409939|9940268.29
183936|9940027.12
59894|9932613.40
298080|9931974.08
252223|9926757.84
560270|9926396.57
379396|9913655.76
23934|9908570.55
307418|9906983.64
48960|9897945.04
406594|9895709.25
568903|9895493.68
596167|9893618.62
311787|9891369.20
42869|9888220.06
268948|9881239.92
532630|9881108.50
85028|9875745.15
259715|9871208.53
454473|9870381.97
301761|9859991.00
427689|9859965.80
82301|9859682.31
274896|9844492.12
204326|9836747.63
171607|9833884.32
375377|9832490.12
154198|9831001.52
488844|9827874.85
176736|9827823.18
514357|9826284.90
367691|9823584.80
452301|9821219.95
238437|9818480.00
9039|9816447.72
326355|9815478.16
566418|9809625.80
587600|9808491.12
240707|9805649.20
340877|9799995.44
451566|9796237.98
221978|9795428.09
470108|9793186.81
536260|9789325.04
67562|9787899.12
142904|9786407.07
130830|9786068.32
167396|9782556.71
261017|9781522.13
538705|9779530.67
362438|9778944.08
503379|9774770.76
266222|9772222.77
382074|9772095.50
153529|9770533.92
340087|9767479.44
222320|9766579.68
36870|9765135.98
286602|9758954.19
48735|9758007.00
70639|9757598.69
330171|9756402.70
305974|9751595.34
392319|9748687.34
508892|9746792.10
543569|9744638.24
66746|9743528.76
121326|9743189.27
289497|9742039.16
156669|9740301.02
97877|9740180.60
77526|9736916.89
270540|9736493.50
23989|9734098.47
424100|9732372.84
15945|9731096.45
143914|9730898.32
285674|9730441.28
112412|9729538.52
55899|9728430.67
12367|9721261.07
422612|9715565.58
435997|9715017.54
96115|9709590.46
108701|9709370.52
507460|9705419.60
491379|9703904.82
583097|9703897.28
462569|9697045.86
39282|9696645.00
163150|9695101.20
374401|9689892.86
78741|9682463.90
212306|9679509.00
392180|9676626.71
138895|9675057.00
191771|9672080.40
83532|9671028.21
464398|9670711.52
536805|9668051.49
485501|9666590.92
209794|9661232.70
147466|9661215.85
396531|9660032.90
80584|9651520.84
585044|9645499.05
454357|9645390.12
273125|9642799.86
221373|9640493.63
371738|9640197.00
352582|9640095.04
91193|9638978.40
156793|9638300.96
61435|9637771.42
580452|9637620.48
295490|9637032.30
266411|9636404.66
13606|9627990.76
463255|9625939.84
413019|9623545.24
87534|9622991.48
43449|9619258.72
107008|9617920.08
596284|9616224.58
155257|9615933.44
584610|9615891.89
417197|9614853.64
197239|9614215.16
590090|9612560.56
538062|9609017.26
1011|9608892.80
208015|9607101.82
417424|9605043.99
322701|9604524.81
463582|9601042.86
285195|9596167.80
195224|9594803.80
466765|9592959.13
110591|9592538.32
184679|9590824.31
473837|9587422.85
290662|9587143.47
137344|9586480.39
225639|9583302.33
172420|9579948.96
17995|9579168.25
534632|9576943.47
433185|9574466.70
484035|9572946.84
77604|9568621.41
213619|9568037.73
437682|9564753.53
469190|9560644.96
594661|9558946.44
159215|9557678.40
163172|9551859.89
540586|9551655.48
258357|9549043.67
266867|9546615.75
174577|9545483.72
454739|9542505.72
439938|9542386.42
471599|9538054.68
152456|9536566.45
287213|9534183.48
516770|9531937.74
213739|9528066.19
4372|9527433.93
127644|9526492.50
501236|9523540.80
29368|9521811.00
232719|9521077.65
536990|9520656.15
66182|9520498.38
234575|9519909.96
37003|9517859.34
89291|9516461.16
594420|9514033.88
45179|9510588.43
418515|9510237.00
496460|9510054.62
407154|9508163.28
362612|9502647.84
159155|9500944.88
106663|9500301.80
564931|9499483.56
350114|9499140.80
22609|9498878.75
231709|9498809.72
506099|9495936.80
394652|9494541.78
385611|9494364.30
45045|9494307.36
291097|9493824.84
114415|9492668.23
488598|9490449.02
531814|9489886.91
358358|9489795.66
440587|9489386.88
211117|9487561.80
194895|9486896.94
568494|9486577.58
399586|9486057.13
430478|9483163.49
350983|9481499.54
2682|9480751.50
81264|9480318.86
160306|9478280.70
184984|9477222.04
418830|9471473.78
469856|9467823.04
536470|9467755.19
295475|9466834.79
4357|9464355.64
223077|9462220.99
307513|9461244.69
73069|9460150.25
4563|9458910.62
206246|9457751.81
299304|9453887.12
78492|9450140.48
160826|9446754.84
155222|9446402.36
561275|9438863.28
437401|9438646.66
111765|9437769.10
91289|9437472.00
532405|9436317.91
510118|9435821.28
523683|9435256.89
56723|9435102.16
397756|9433876.64
306418|9433803.24
411668|9432360.75
283449|9432348.96
251590|9431714.08
365570|9431356.84
190481|9430519.41
78961|9430401.05
406982|9428686.84
344763|9427552.08
386679|9427127.14
168173|9426726.56
570932|9424828.45
6243|9423304.66
375412|9421930.00
390755|9421912.43
191272|9420844.10
495926|9420293.52
391295|9419659.86
451739|9418827.40
311977|9411826.19
523972|9411055.64
583624|9408785.66
578040|9405970.65
321248|9405695.04
511552|9404946.60
284313|9404748.30
322438|9403934.28
60884|9403442.40
427377|9399708.51
544995|9396491.06
418918|9394004.55
246469|9393876.60
559400|9393799.80
344952|9393404.02
363112|9393182.47
219206|9390929.82
74273|9388379.19
1071|9388264.40
444007|9387786.46
486114|9386087.00
93243|9381786.69
155021|9381396.18
373059|9381340.98
