c_name|c_custkey|o_orderkey|o_orderdate|o_totalprice|%4
Customer#000139304|139304|4745607|1997-07-03|561104.06|309.00
Customer#000200365|200365|2199712|1996-09-30|560893.32|327.00
Customer#000370687|370687|14891232|1992-05-30|542712.84|311.00
Customer#000010697|10697|2329187|1998-01-04|542406.18|304.00
Customer#000256120|256120|15071267|1994-10-22|530042.60|317.00
Customer#000123445|123445|8231942|1993-02-06|521710.05|302.00
Customer#000384361|384361|4722021|1994-04-07|518469.69|323.00
Customer#000004234|4234|12701702|1997-07-26|514382.96|311.00
Customer#000389893|389893|6517825|1993-06-19|513974.71|304.00
Customer#000288083|288083|8319046|1995-10-07|511863.67|307.00
Customer#000279487|279487|9436480|1992-05-22|511731.38|311.00
Customer#000433849|433849|3043270|1997-02-12|507270.55|317.00
Customer#000159082|159082|2662214|1993-08-13|507254.05|302.00
Customer#000264964|264964|10889601|1992-05-22|507134.85|306.00
Customer#000362950|362950|12314084|1994-05-16|505465.55|325.00
Customer#000409715|409715|2761378|1996-05-31|504058.63|301.00
Customer#000011041|11041|3861123|1998-07-03|502906.12|301.00
Customer#000124384|124384|8639938|1996-08-30|501241.42|301.00
Customer#000178436|178436|8028004|1996-04-11|500873.43|302.00
Customer#000248641|248641|10678725|1992-12-07|500418.21|309.00
Customer#000415235|415235|12906020|1994-03-16|499874.81|304.00
Customer#000288304|288304|5984582|1992-03-16|499446.09|312.00
Customer#000416057|416057|6651397|1992-07-14|498887.69|301.00
Customer#000041821|41821|2232932|1997-04-13|497411.04|304.00
Customer#000339392|339392|967334|1995-12-15|495977.64|301.00
Customer#000353755|353755|2869152|1996-06-20|494607.61|317.00
Customer#000144259|144259|12809282|1994-05-21|493453.59|314.00
Customer#000043456|43456|11599171|1998-03-22|492837.52|316.00
Customer#000046858|46858|3767271|1996-08-07|492593.04|318.00
Customer#000092246|92246|12251526|1993-12-24|492010.52|305.00
Customer#000334690|334690|13165024|1992-06-29|491616.70|318.00
Customer#000433585|433585|17927718|1996-08-27|490270.16|314.00
Customer#000110246|110246|6292038|1997-11-12|489631.52|305.00
Customer#000026384|26384|10805828|1997-07-29|488802.43|316.00
Customer#000386948|386948|10184165|1992-06-15|486104.45|311.00
Customer#000351227|351227|4290656|1997-02-05|485045.05|301.00
Customer#000051244|51244|13971749|1996-05-07|484832.67|305.00
Customer#000116755|116755|13185729|1995-08-02|484801.98|305.00
Customer#000128893|128893|9816576|1997-06-06|482362.95|308.00
Customer#000338957|338957|4439686|1996-09-17|482245.10|305.00
Customer#000331717|331717|12331750|1994-12-07|481071.25|310.00
Customer#000360295|360295|1971680|1995-06-14|480426.61|308.00
Customer#000348131|348131|8754087|1996-01-21|480331.93|306.00
Customer#000234401|234401|9727175|1995-03-18|480317.70|302.00
Customer#000045814|45814|3883783|1993-07-28|478247.08|302.00
Customer#000379939|379939|7456839|1994-07-14|478196.22|311.00
Customer#000072004|72004|13393635|1995-07-14|477634.92|307.00
Customer#000322771|322771|4267751|1994-11-04|477281.25|301.00
Customer#000396560|396560|7165026|1995-05-29|477137.71|304.00
Customer#000396802|396802|16215716|1993-04-12|477040.13|302.00
Customer#000154408|154408|15572326|1995-02-26|475274.02|309.00
Customer#000193444|193444|2745894|1996-07-04|475014.56|304.00
Customer#000035183|35183|8506019|1992-12-16|474456.04|306.00
Customer#000412336|412336|5489475|1997-05-23|473383.69|311.00
Customer#000136615|136615|4527553|1994-05-22|471702.43|305.00
Customer#000100195|100195|11028230|1996-08-10|471043.15|302.00
Customer#000297577|297577|8574884|1992-07-04|470944.03|308.00
Customer#000163804|163804|5832321|1997-02-09|470524.61|307.00
Customer#000049151|49151|502886|1994-04-12|470156.85|312.00
Customer#000309824|309824|7062629|1992-06-27|470117.57|313.00
Customer#000231779|231779|1436544|1992-09-12|469119.51|307.00
Customer#000262690|262690|16801991|1992-02-10|467121.74|304.00
Customer#000074635|74635|12563331|1993-06-02|466601.36|301.00
Customer#000019309|19309|7235014|1998-03-09|466117.03|323.00
Customer#000032821|32821|10612710|1995-02-05|463532.88|319.00
Customer#000266108|266108|2995076|1994-01-30|463512.59|302.00
Customer#000328136|328136|5746311|1996-10-10|463300.45|302.00
Customer#000324542|324542|8075589|1996-08-23|463083.24|316.00
Customer#000359965|359965|1544643|1997-09-20|462727.25|320.00
Customer#000130774|130774|15955906|1997-06-16|462212.18|303.00
Customer#000367183|367183|17361729|1997-08-12|461391.80|303.00
Customer#000060643|60643|14046658|1995-12-01|460947.49|305.00
Customer#000054337|54337|8590657|1996-08-29|460283.14|303.00
